City,CES_Score,CES_Percentile,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
Alameda,24.86198758,46.4281677,0.032717391,12.3539441,8.781258976,31.54981366,33.54001863,80.18770186,117.6963975,9.443664596,1.941708075,5.63931677,355.7918187,43.14375776,1027.232429,52.94388013,15.33307453,45.54301242,39.7507764,66.49068323,0.617111801,41.90040373,4.096273292,36.08751553,1.745031056,19.16118012,36.30965839,4.472515528,36.30487578,77.10403727,69.35006211,5.523364486,60.25199377,8.378509317,52.40444099,14.48598131,43.66853583,11.0539185,54.97332288,30.12826087,41.3452795,8.885093168,42.98639752,18.3068323,46.70263975,53.25984472,5.523229814,54.46307453
Albany,11.44146067,16.58977528,0.033505618,13.90348315,8.787431556,31.5141573,28.81013483,73.54932584,160.8261798,14.67629213,1.453146067,7.026966292,322.0318924,41.07449438,935.7850575,48.31655172,3.485955056,23.2941573,14.94775281,46.85,0.33241573,28.01898876,2.404494382,24.51955056,0.407865169,6.765505618,30.48505618,3.755280899,22.22696629,40.20831461,38.98393258,4.263033708,35.99730337,6.524044944,32.29348315,5.1,19.1025,5.924719101,37.30505618,15.71685393,17.73764045,6.324719101,24.99797753,12.26629213,24.40797753,30.23404494,3.135617978,21.33269663
Berkeley,22.97865169,42.36615169,0.032563889,12.079,8.774793369,31.46452778,33.07213333,79.00513889,117.9154167,9.500888889,1.893888889,5.446694444,363.2217651,43.50763889,988.6267324,51.31346479,14.50013889,43.16047222,37.51875,63.36586111,0.616583333,40.46433333,3.994444444,35.55663889,1.594861111,18.16169444,35.47083333,4.369166667,34.45097222,73.18875,65.11647222,5.29656338,56.10143662,8.01725,48.46572222,13.32050562,40.24129213,10.27988669,51.74422096,28.14719101,38.08643258,8.52084507,40.37521127,17.30842697,43.1908427,49.63932584,5.147752809,49.76238764
Castro Valley,23.56612717,43.56627168,0.03266763,12.26104046,8.77790289,31.49546243,33.06782081,79.31942197,119.3499711,9.649768786,1.970520231,5.667080925,358.6907382,43.27277457,1004.171173,51.97328446,14.39696532,43.56823699,37.69046243,64.03046243,0.584176301,40.38037572,3.99132948,35.38696532,1.64566474,18.47271676,35.66968208,4.39367052,34.82864162,73.99286127,66.46384393,5.38057971,57.55133333,8.168034682,50.05141618,13.68985507,41.37121739,10.52478134,52.86419825,28.6933526,39.00760116,8.629768786,41.17728324,17.57572254,44.15210983,50.83289017,5.271531792,51.17407514
Dublin,26.16885135,49.36010135,0.032662162,12.23530405,8.780080319,31.57165541,34.09595608,81.27530405,112.2178041,8.780304054,2.078817568,5.526722973,358.7149456,43.32483108,1042.554007,53.39616438,16.28513514,47.39334459,41.53108108,67.55976351,0.646841216,42.81320946,4.172297297,36.54331081,1.821114865,19.83027027,36.72638514,4.523851351,37.27709459,80.56547297,72.2935473,5.670474576,63.08742373,8.564054054,54.45547297,15.38813559,46.11820339,11.5225256,56.57699659,31.5375,43.63699324,9.178040541,45.05554054,18.96925676,49.18408784,55.64665541,5.770709459,57.87138514
Emeryville,34.93489362,66.97950355,0.031390071,9.773971631,8.742537348,31.22092199,39.39795745,87.94262411,77.02375887,4.672056738,3.057588652,2.685106383,430.5819438,46.88177305,1089.435929,53.56507143,27.2177305,63.0935461,62.36347518,78.39524823,0.822092199,52.71205674,6.035460993,49.21588652,3.063475177,30.90929078,40.81489362,5.027375887,47.51929078,105.1528369,88.6887234,6.163829787,72.1370922,9.227092199,60.30744681,22.17588652,61.27808511,15.42285714,68.00142857,41.74042553,59.75184397,10.98368794,56.89865248,23.09858156,64.47737589,67.89851064,7.041560284,75.81184397
Fremont,24.22730539,45.00928144,0.032730539,12.3745509,8.782030702,31.5555988,33.3053982,79.68649701,118.5767964,9.555718563,2.041317365,5.853473054,355.7960658,43.1107485,1020.036383,52.60984802,14.86871257,44.72844311,38.82859281,65.37254491,0.599565868,41.22598802,4.041916168,35.79841317,1.686826347,18.59050898,36.03137725,4.438233533,35.65368263,75.6542515,68.09508982,5.431141141,58.55870871,8.290898204,51.42916168,14.08018018,42.50996997,10.80694864,54.06226586,29.45449102,40.26095808,8.751497006,42.01643713,17.96826347,45.53943114,52.08071856,5.400958084,52.83275449
Hayward,25.27216561,47.34786624,0.032694268,12.31216561,8.783381656,31.57146497,33.68023248,80.38140127,116.4688854,9.310509554,1.991178344,5.765127389,356.6356833,43.17898089,1034.605793,53.37621359,15.69984076,46.45353503,40.42308917,67.32124204,0.631815287,42.5693949,4.063694268,35.72780255,1.782006369,19.47681529,36.52605096,4.499171975,36.80894904,78.00630573,70.05987261,5.57485623,61.18389776,8.42611465,52.92248408,14.74696486,44.38198083,11.2266881,55.63176849,30.55955414,42.03124204,8.980254777,43.63942675,18.51082803,47.48085987,53.96630573,5.596464968,55.47398089
Livermore,24.81027864,46.31182663,0.032739938,12.39578947,8.781001034,31.54718266,33.46347368,80.01693498,119.2649226,9.632693498,2.109349845,5.84495356,355.0503134,43.09315789,1025.029465,52.82232704,15.28560372,45.40201238,39.63003096,66.29708978,0.615201238,41.77068111,4.086687307,36.02303406,1.739628483,19.10185759,36.27941176,4.46879257,36.2306192,76.97814241,69.24780186,5.515186335,60.08860248,8.385665635,52.49049536,14.44906832,43.5589441,11.026875,54.8563125,30.0504644,41.2201548,8.863157895,42.85569659,18.27399381,46.57674923,53.16944272,5.513869969,54.33352941
Newark,28.85292181,55.27246914,0.032386831,11.7017284,8.773844608,31.4937037,34.8719465,81.76526749,102.6702058,7.619958848,2.245390947,5.245020576,372.6850696,44.0917284,1048.138,53.88979167,18.99773663,51.96588477,47.50329218,71.64255144,0.68872428,46.00798354,4.761316872,40.79366255,2.169135802,23.0744856,37.9909465,4.679506173,40.43798354,88.77222222,78.87127572,5.834897119,66.37061728,8.907777778,58.07716049,17.34897119,50.95193416,12.60541667,60.297,34.23909465,48.14168724,9.611111111,48.18176955,20.0090535,53.15292181,59.94222222,6.21617284,64.21423868
Oakland,22.97865169,42.36615169,0.032571031,12.09153203,8.775007435,31.46665738,33.12616156,79.10980501,118.0472145,9.514902507,1.899164345,5.461866295,362.7845054,43.48557103,990.2526836,51.39522599,14.50292479,43.07532033,37.5551532,63.32977716,0.600125348,40.30364903,4.002785515,35.61317549,1.599303621,18.21228412,35.47880223,4.370139276,34.47490251,73.35267409,65.29038997,5.29656338,56.10143662,8.030584958,48.59710306,13.32050562,40.24129213,10.27988669,51.74422096,28.14719101,38.08643258,8.52084507,40.37521127,17.30842697,43.1908427,49.63932584,5.147752809,49.76238764
Pleasanton,23.84665689,44.16961877,0.032697947,12.31941349,8.780304577,31.53803519,33.25396774,79.66205279,118.8418182,9.580997067,1.99941349,5.750175953,357.49741,43.19627566,1010.533185,52.21291667,14.5898827,44.05759531,38.18225806,64.67014663,0.588343109,40.7083871,4.035190616,35.68580645,1.663929619,18.54917889,35.8501173,4.415923754,35.22703812,74.71486804,67.19829912,5.396176471,57.88238235,8.215923754,50.59548387,13.85676471,41.87229412,10.64615385,53.40286982,29.03929619,39.56090909,8.682697947,41.55354839,17.75953079,44.76739003,51.35829912,5.32601173,51.86601173
San Leandro,29.32547009,56.27401709,0.032282051,11.50405983,8.774972505,31.51606838,35.54440171,82.94461538,100.0862821,7.34,2.196025641,4.864145299,379.0883598,44.45820513,1067.510346,54.65402597,19.56602564,52.95512821,48.76880342,72.48675214,0.70534188,46.15200855,4.905982906,41.82803419,2.19957265,23.26615385,38.34273504,4.722905983,41.2565812,89.7324359,79.65047009,5.842435897,66.46846154,8.906410256,57.93786325,17.73504274,51.80923077,12.79396552,60.85172414,34.78717949,48.98944444,9.682478632,48.65482906,20.21965812,53.91752137,60.4242735,6.266282051,64.91324786
San Lorenzo,30.71751196,59.14712919,0.032095694,11.12593301,8.772152604,31.52808612,36.38485167,84.09258373,91.96799043,6.403301435,2.399330144,4.14138756,390.9288271,45.02578947,1072.285942,54.20280193,21.41937799,55.83779904,51.27344498,73.30947368,0.765334928,47.23789474,5.110047847,43.16669856,2.364593301,24.21913876,38.75253589,4.773397129,42.31617225,93.27047847,82.00311005,5.949330144,68.42066986,8.991291866,58.6377512,18.99712919,54.76880383,13.53333333,63.10850242,36.93684211,52.42129187,10.07799043,51.33583732,21.22344498,57.54966507,62.75143541,6.507751196,68.34162679
Union City,26.41350515,49.90958763,0.032591065,12.10027491,8.7814916,31.5866323,34.07352234,81.16106529,110.3532302,8.592749141,2.114467354,5.581718213,359.8061744,43.36347079,1026.957631,52.91013937,16.5137457,47.80292096,42.01477663,67.96226804,0.657182131,43.19865979,4.23024055,36.97017182,1.852405498,20.17099656,36.77986254,4.530412371,37.42731959,81.38292096,73.01680412,5.69637931,63.65348276,8.595085911,54.7914433,15.53642612,46.51343643,11.61041667,56.81663194,31.85292096,44.15010309,9.241924399,45.51257732,19.06082474,49.53020619,56.12051546,5.819862543,58.56151203
